No.,Institution,Country Region,World Rank,National Rank,Alumni,Award,HiCi,N&S,PUB,PCP,Total Score,Free
230,麦考瑞大学Macquarie University,Australia,201-300,9-11,0.0,0.0,18.1,13.1,33.6,25.1,,免费评估
231,Medical University of Vienna,Austria,201-300,2-3,8.9,9.4,8.6,9.3,33.4,18.4,,免费评估
232,Nanjing University,China,201-300,8-13,0.0,0.0,0.7,9.3,53.7,19.0,,免费评估
233,National Autonomous University of Mexico,Mexico,201-300,1,12.6,0.0,3.3,8.5,47.7,24.0,,免费评估
234,National Tsing Hua University,China-tw,201-300,2,12.6,0.0,5.1,12.9,32.6,21.1,,免费评估
235,纽卡斯尔大学Newcastle University,UK,201-300,22-28,0.0,0.0,12.2,15.2,37.6,18.6,,免费评估
236,东北大学Northeastern University,USA,201-300,79-102,0.0,0.0,15.9,16.5,29.9,20.7,,免费评估
237,Paul Sabatier University (Toulouse 3),France,201-300,9-15,0.0,0.0,12.3,20.2,35.5,13.8,,免费评估
238,Polytechnic Institute of Milan,Italy,201-300,6-8,7.3,14.9,5.0,7.0,32.9,20.4,,免费评估
239,Pompeu Fabra University,Spain,201-300,2-5,0.0,0.0,5.0,19.7,26.4,33.6,,免费评估
240,女王大学Queen's University,Canada,201-300,7-16,0.0,0.0,13.1,11.9,32.6,19.0,,免费评估
241,RWTH Aachen University,Germany,201-300,14-21,0.0,0.0,16.3,6.3,40.6,21.6,,免费评估
