Ranking,University English Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
65,蒙纳什大学Monash University,Australia,91.8,93.1,-,100,96.4,64.2,71.6,免费评估
66,伊利诺伊大学香槟分校University of Illinois at Urbana-Champaign,United States,95.1,62.2,-,35.3,71.2,93.8,71.4,免费评估
67,德克萨斯大学奥斯汀分校The University of Texas at Austin,United States,97.5,82.9,-,-,22.6,96.1,70.7,免费评估
68,Ludwig-Maximilians-Universit?t München,Germany,96.1,83.5,43.6,58.6,39,49.3,70.2,免费评估
68,National Taiwan University (NTU),Taiwan,95.7,68.9,36,-,-,80.7,70.2,免费评估
68,University of Copenhagen,Denmark,81.9,64.8,100,86,31.3,25,70.2,免费评估
71,佐治亚理工学院Georgia Institute of Technology,United States,76.1,78,48.8,-,87.5,86,69.8,免费评估
72,Ruprecht-Karls-Universitaet Heidelberg,Germany,90.1,70.5,69.7,48.4,59.5,36.4,69.7,免费评估
73,Lund University,Sweden,82,78.8,49.3,89.1,73.3,51.7,69.1,免费评估
74,杜伦大学Durham University,United Kingdom,64.9,95.7,30.7,94,87.6,89.5,68.8,免费评估
75,Tohoku University,Japan,78.7,57.5,97.9,-,-,52.3,68.7,免费评估
75,诺丁汉大学The University of Nottingham,United Kingdom,71.4,91.3,59,90.3,87.9,50.7,68.7,免费评估
77,圣安德鲁斯大学University of St Andrews,United Kingdom,54.3,58.4,73,98.2,99.9,79.2,68.2,免费评估
78,北卡罗来纳州大学教堂山分校University of North Carolina at Chapel Hill,United States,76.9,44.8,77.1,34.2,-,74.7,68.1,免费评估
79,KU Leuven,Belgium,87.4,71.6,-,83.7,41.3,89.4,67.9,免费评估
80,University of Zurich,Switzerland,68.6,69.3,95.8,100,62.2,29.9,67.8,免费评估
81,奥克兰大学The University of Auckland,New Zealand,90.1,85.8,-,86.5,89.5,50,67.3,免费评估
82,伯明翰大学University of Birmingham,United Kingdom,73.9,88.7,49.3,90.3,84.3,50.1,67.2,免费评估
83,Pohang University of Science And Technology (POSTECH),South Korea,47,57.3,99.5,44.5,-,100,67.0,免费评估
84,谢菲尔德大学The University of Sheffield,United Kingdom,70.3,66.2,62.7,84.8,97.1,52,66.9,免费评估
85,Universidad de Buenos Aires (UBA),Argentina,92.8,98.9,65.2,46.4,58.4,-,65.8,免费评估
85,"University of California, Davis",United States,80.6,49.9,25.6,65.5,47.6,88.7,65.8,免费评估
87,南安普顿大学University of Southampton,United Kingdom,63.3,48.2,72.8,93.3,96,56.2,65.6,免费评估
88,俄亥俄州立大学Ohio State University,United States,75.5,52,77.2,81.3,48.1,40.1,65.4,免费评估
89,波士顿大学Boston University,United States,71.3,83.9,56.5,-,77.7,63.1,65.2,免费评估
90,莱斯大学Rice University,United States,43,-,85.4,89.2,88.8,98,65.0,免费评估
91,University of Helsinki,Finland,75.5,57.2,93.7,65,-,31.2,64.7,免费评估
92,Purdue University,United States,74.5,70.8,30.2,96.1,77.4,63.6,64.5,免费评估
93,利兹大学University of Leeds,United Kingdom,72,81.8,49.3,77.9,77.4,47.3,64.2,免费评估
94,阿尔伯塔大学University of Alberta,Canada,70.6,61.9,53.5,92.6,83.5,49.8,64.0,免费评估
95,宾州州立大学Pennsylvania State University,United States,81.3,72.1,-,-,44.1,81.6,63.6,免费评估
95,University of Geneva,Switzerland,57.8,31.4,53.7,100,99.5,81.9,63.6,免费评估
97,KTH Royal Institute of Technology,Sweden,52.2,88.1,62,90.6,42.9,71.3,63.1,免费评估
98,Uppsala University,Sweden,77.6,53.1,48.5,24.6,71.6,59.5,62.8,免费评估
98,Korea University,South Korea,70.8,82.6,82.9,18.8,35.1,34.9,62.8,免费评估
98,"Trinity College Dublin, The University of Dublin",Ireland,68.2,57.8,39.6,98,85.9,62.4,62.8,免费评估
