rankingName,rankingUrlCode,rankingYear,subject,rankingUrl,csvFileName
TIMES-Subject,times,2011,物理学与天文学Physics and Astronomy,https://ranking.promisingedu.com/2011-times-en-undergraduate-physics_and_astronomy,TIMES_2011_物理学与天文学Physics and Astronomy.csv
TIMES-Subject,times,2011,政治学Politics,https://ranking.promisingedu.com/2011-times-en-undergraduate-politics,TIMES_2011_政治学Politics.csv
TIMES-Subject,times,2011,心理学Psychology,https://ranking.promisingedu.com/2011-times-en-undergraduate-psychology,TIMES_2011_心理学Psychology.csv
TIMES-Subject,times,2011,俄罗斯语Russian,https://ranking.promisingedu.com/2011-times-en-undergraduate-russian,TIMES_2011_俄罗斯语Russian.csv
TIMES-Subject,times,2011,社会政策Social Policy,https://ranking.promisingedu.com/2011-times-en-undergraduate-social_policy,TIMES_2011_社会政策Social Policy.csv
TIMES-Subject,times,2011,社会工作Social Work,https://ranking.promisingedu.com/2011-times-en-undergraduate-social_work,TIMES_2011_社会工作Social Work.csv
TIMES-Subject,times,2011,社会学Socieology,https://ranking.promisingedu.com/2011-times-en-undergraduate-socieology,TIMES_2011_社会学Socieology.csv
TIMES-Subject,times,2011,运动科学Sports Science,https://ranking.promisingedu.com/2011-times-en-undergraduate-sports_science,TIMES_2011_运动科学Sports Science.csv
TIMES-Subject,times,2011,神学与宗教学Theology and Religious Studies,https://ranking.promisingedu.com/2011-times-en-undergraduate-theology_and_religious_studies,TIMES_2011_神学与宗教学Theology and Religious Studies.csv
TIMES-Subject,times,2011,城镇规划与园林Town and Country Planning and Landscape,https://ranking.promisingedu.com/2011-times-en-undergraduate-town_and_country_planning_and_landscape,TIMES_2011_城镇规划与园林Town and Country Planning and Landscape.csv
TIMES-Subject,times,2011,兽医学Veterinary Medicine,https://ranking.promisingedu.com/2011-times-en-undergraduate-veterinary_medicine,TIMES_2011_兽医学Veterinary Medicine.csv
TIMES-Subject,times,2012,会计与金融Accounting and Finance ,https://ranking.promisingedu.com/2012-times-en-undergraduate-accounting_and_finance,TIMES_2012_会计与金融Accounting and Finance .csv
TIMES-Subject,times,2012,航空与制造工程Aeronautical and Manufacturing,https://ranking.promisingedu.com/2012-times-en-undergraduate-aeronautical_and_manufacturing,TIMES_2012_航空与制造工程Aeronautical and Manufacturing.csv
